Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,3.02643195391316E-06,2.14015053832333E-05,0.0289362445784326,0,0,0,0.110606435738044,4.76917532529207E-05,6.69262421229349E-10,-1.08351479667314E-08,4.77475569205128E-05,-6.85610799836889E-08,3.32699333263548E-05,0,0,0,0,0,0,package://continuum_urdf5/meshes/base_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://continuum_urdf5/meshes/base_link.STL,,Arm Base-1;Arm Link Assembly 3-2/#8-32 x 0.3125in 18-8 Stainless Steel Socket Head Screw-2;ZIO BNO080 part-3;Arm Link Assembly 3-2/VEX Universal Joint 2-2/VEX Joint Link-2;Arm Link Assembly 3-2/VEX Universal Joint 2-2/VEX Joint Pin-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1z,-2.12299450200802E-08,-8.53256570954031E-09,-3.87613239293998E-08,0,0,0,5.10060794085737E-05,1.75822535577782E-10,3.83487536800791E-15,1.94367794649857E-16,1.59351158296881E-10,-5.38715599903244E-15,1.76043379343405E-10,0,0,0,0,0,0,package://continuum_urdf5/meshes/link1z.STL,0.898039215686275,0.92156862745098,0.929411764705882,1,0,0,0,0,0,0,package://continuum_urdf5/meshes/link1z.STL,,Arm Link Assembly 3-2/VEX Universal Joint 2-2/VEX Joint Ball-1,Coordinate System1,Z Axis,joint1z,revolute,0,0,0.0736549953937202,1.5707963267949,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
link1x,-0.000190601760310987,0.019653930577233,-0.000724481897239907,0,0,0,0.0187335148666279,2.41783807114397E-06,4.25962338942814E-11,1.51329387478613E-09,3.8436241905514E-06,6.71977364319963E-10,2.40694329358004E-06,0,0,0,0,0,0,package://continuum_urdf5/meshes/link1x.STL,0.898039215686275,0.92156862745098,0.929411764705882,1,0,0,0,0,0,0,package://continuum_urdf5/meshes/link1x.STL,,Arm Link Assembly 3-2/VEX Universal Joint 2-2/VEX Joint Link-1;Arm Link Assembly 3-2/Arm Link 2-2;Arm Link Assembly 3-2/ZIO BNO080 part-1;Arm Link Assembly 3-2/#8-32 x 0.3125in 18-8 Stainless Steel Socket Head Screw-1;Arm Link Assembly-14/#8-32 x 0.3125in 18-8 Stainless Steel Socket Head Screw-2;Arm Link Assembly-14/VEX Universal Joint-1/VEX Joint Link-1;Arm Link Assembly 3-2/VEX Universal Joint 2-2/VEX Joint Pin-1;Arm Link Assembly-14/VEX Universal Joint-1/VEX Joint Pin-1,Coordinate System1,X Axis,joint1x,revolute,0,0,0,0,0,0,link1z,-1,0,0,0,0,0,0,,,,,,,,
link2z,-1.10891937610064E-08,-1.313884703813E-08,-2.40142944843257E-08,0,0,0,5.10060794085745E-05,1.75822535577785E-10,3.8348753680166E-15,1.94367794638103E-16,1.59351158296884E-10,-5.38715599821793E-15,1.76043379343409E-10,0,0,0,0,0,0,package://continuum_urdf5/meshes/link2z.STL,0.898039215686275,0.92156862745098,0.929411764705882,1,0,0,0,0,0,0,package://continuum_urdf5/meshes/link2z.STL,,Arm Link Assembly-14/VEX Universal Joint-1/VEX Joint Ball-1,Coordinate System2,Z Axis,joint2z,revolute,0,0.0392500046062798,0,0,0,0,link1x,0,0,1,0,0,0,0,,,,,,,,
link2x,-5.98376639435409E-05,0.019653905017403,-0.000644640826450434,0,0,0,0.0187335149509922,2.4205413539412E-06,-1.01148648764289E-10,-1.53830182667667E-09,3.84362437516261E-06,8.19100701932167E-10,2.40423982740677E-06,0,0,0,0,0,0,package://continuum_urdf5/meshes/link2x.STL,0.898039215686275,0.92156862745098,0.929411764705882,1,0,0,0,0,0,0,package://continuum_urdf5/meshes/link2x.STL,,Arm Link Assembly-14/VEX Universal Joint-1/VEX Joint Link-2;Arm Link Assembly-14/Arm Link 2-2;Arm Link Assembly-14/ZIO BNO080 part-1;Arm Link Assembly 2-1/#8-32 x 0.3125in 18-8 Stainless Steel Socket Head Screw-2;Arm Link Assembly-14/#8-32 x 0.3125in 18-8 Stainless Steel Socket Head Screw-1;Arm Link Assembly 2-1/VEX Universal Joint 2-1/VEX Joint Link-1;Arm Link Assembly-14/VEX Universal Joint-1/VEX Joint Pin-2;Arm Link Assembly 2-1/VEX Universal Joint 2-1/VEX Joint Pin-1,Coordinate System2,X Axis,joint2x,revolute,0,0,0,0,0,0,link2z,-1,0,0,0,0,0,0,,,,,,,,
link3z,1.1089193767166E-08,1.31388469826188E-08,-2.40142944647135E-08,0,0,0,5.10060794085739E-05,1.75822535577782E-10,3.83487536805912E-15,-1.94367794552012E-16,1.59351158296882E-10,5.38715599899958E-15,1.76043379343405E-10,0,0,0,0,0,0,package://continuum_urdf5/meshes/link3z.STL,0.898039215686275,0.92156862745098,0.929411764705882,1,0,0,0,0,0,0,package://continuum_urdf5/meshes/link3z.STL,,Arm Link Assembly 2-1/VEX Universal Joint 2-1/VEX Joint Ball-1,Coordinate System3,Z Axis,joint3z,revolute,0,0.0392500000000002,0,0,0,0,link2x,0,0,1,0,0,0,0,,,,,,,,
link3x,2.99887125579507E-05,0.0196539282384092,-0.000567612048998135,0,0,0,0.0187335149509922,2.42324459949235E-06,4.44855439008388E-11,-1.53970983287726E-09,3.84362416067099E-06,6.75123384996969E-10,2.40153679634726E-06,0,0,0,0,0,0,package://continuum_urdf5/meshes/link3x.STL,0.898039215686275,0.92156862745098,0.929411764705882,1,0,0,0,0,0,0,package://continuum_urdf5/meshes/link3x.STL,,Arm Link Assembly 2-1/VEX Universal Joint 2-1/VEX Joint Link-2;Arm Link Assembly 2-1/Arm Link 2-2;Arm Link Assembly 2-1/ZIO BNO080 part-1;Arm Link Assembly 2-1/#8-32 x 0.3125in 18-8 Stainless Steel Socket Head Screw-1;Arm Link Assembly 3-3/#8-32 x 0.3125in 18-8 Stainless Steel Socket Head Screw-2;Arm Link Assembly 3-3/VEX Universal Joint 2-2/VEX Joint Link-2;Arm Link Assembly 2-1/VEX Universal Joint 2-1/VEX Joint Pin-2;Arm Link Assembly 3-3/VEX Universal Joint 2-2/VEX Joint Pin-2,Coordinate System3,X Axis,joint3x,revolute,0,0,0,0,0,0,link3z,-1,0,0,0,0,0,0,,,,,,,,
link4z,-8.24412904988884E-09,-2.73776028791861E-08,-6.93047406770783E-09,0,0,0,5.10060794085738E-05,1.75822535577782E-10,3.83487536811784E-15,1.94367794604845E-16,1.59351158296882E-10,-5.38715599979314E-15,1.76043379343405E-10,0,0,0,0,0,0,package://continuum_urdf5/meshes/link4z.STL,0.898039215686275,0.92156862745098,0.929411764705882,1,0,0,0,0,0,0,package://continuum_urdf5/meshes/link4z.STL,,Arm Link Assembly 3-3/VEX Universal Joint 2-2/VEX Joint Ball-1,Coordinate System4,Z Axis,joint4z,revolute,0,0.0392500142387559,0,0,0,0,link3x,0,0,1,0,0,0,0,,,,,,,,
link4x,-0.000190588778921464,0.0196538896053952,-0.000724431231572024,0,0,0,0.0187335149509922,2.41783807161766E-06,4.37312877510022E-11,1.51278228230449E-09,3.84362441190128E-06,6.72003640681149E-10,2.40694307299164E-06,0,0,0,0,0,0,package://continuum_urdf5/meshes/link4x.STL,0.898039215686275,0.92156862745098,0.929411764705882,1,0,0,0,0,0,0,package://continuum_urdf5/meshes/link4x.STL,,Arm Link Assembly 3-3/VEX Universal Joint 2-2/VEX Joint Link-1;Arm Link Assembly 3-3/Arm Link 2-2;Arm Link Assembly 3-3/ZIO BNO080 part-1;Arm Link Assembly 3-3/#8-32 x 0.3125in 18-8 Stainless Steel Socket Head Screw-1;Arm Link Assembly-21/#8-32 x 0.3125in 18-8 Stainless Steel Socket Head Screw-2;Arm Link Assembly-21/VEX Universal Joint-1/VEX Joint Link-1;Arm Link Assembly 3-3/VEX Universal Joint 2-2/VEX Joint Pin-1;Arm Link Assembly-21/VEX Universal Joint-1/VEX Joint Pin-1,Coordinate System4,X Axis,joint4x,revolute,0,0,0,0,0,0,link4z,-1,0,0,0,0,0,0,,,,,,,,
link5z,-1.10891938977084E-08,-1.31388470103744E-08,-2.40142944759283E-08,0,0,0,5.10060794085761E-05,1.7582253557779E-10,3.83487536795978E-15,1.94367794750661E-16,1.59351158296889E-10,-5.38715599765238E-15,1.76043379343414E-10,0,0,0,0,0,0,package://continuum_urdf5/meshes/link5z.STL,0.898039215686275,0.92156862745098,0.929411764705882,1,0,0,0,0,0,0,package://continuum_urdf5/meshes/link5z.STL,,Arm Link Assembly-21/VEX Universal Joint-1/VEX Joint Ball-1,Coordinate System5,Z Axis,joint5z,revolute,0,0.0392499857612441,0,0,0,0,link4x,0,0,1,0,0,0,0,,,,,,,,
